t,x,y,yaw_meas,v_meas,ekf_yaw_pre,ekf_yaw_post,ekf_yaw_rate,ekf_v,cte_init,epsi_init,prev_delta,chosen_delta,best_cost
1.2699999999999996,-182.95803833007812,79.35166931152344,-1.082771457826631,1.2692304849624634,0.0,-0.7446355210277925,-0.026958741187789067,-0.5391824432191932,1.0956203205894413,0.8293790372326577,1.22,1.22,332.84972261109294
1.303,-182.9136505126953,79.32815551757812,-1.0615535207897515,1.2734464406967163,0.0,-0.7300436794287306,-0.02643001383725367,-0.5286687825277493,1.0437272716865136,0.8439708788317097,1.22,1.22,319.09229426201404
1.3360000000000003,-182.8686065673828,79.3055191040039,-1.040262613139004,1.277496099472046,0.0,-0.7154016550226833,-0.025899574769287274,-0.5181064771818372,0.998836710622586,0.858612903237745,1.22,1.22,305.52814693470015
1.3689999999999998,-182.8229522705078,79.28376007080078,-1.0189010651403423,1.2814172506332397,0.0,-0.7007110503627932,-0.02536753947585711,-0.5074899569895742,0.953662230489379,0.8733035078976474,1.22,1.22,292.199338242324
1.4020000000000001,-182.77667236328125,79.2629165649414,-0.997473337588592,1.2851777076721191,0.0,-0.6859749331936484,-0.024833720177958003,-0.4968564402748563,0.9081884723614121,0.8880396250667832,1.22,1.22,279.1237176803034
1.4349999999999996,-182.72984313964844,79.24301147460938,-0.9759816275916525,1.2888004779815674,0.0,-0.6711948144939257,-0.02429840719434185,-0.48617942864110214,0.8624675140392531,0.9028197437665293,1.22,1.22,266.330894481866
1.468,-182.68243408203125,79.22405242919922,-0.954429397258941,1.2923041582107544,0.0,-0.6563730751997237,-0.023761667832201502,-0.475462858514877,0.8164960085350784,0.9176414830607182,1.22,1.22,253.84861092229846
1.5010000000000003,-182.634521484375,79.20606231689453,-0.9328179781710025,1.2957106828689575,0.0,-0.6415106310556947,-0.023223549473150286,-0.4647057267563997,0.7703229364912249,0.9325039272047606,1.22,1.22,241.6890634191524
1.5339999999999998,-182.58609008789062,79.18907165527344,-0.9111502332260089,1.299038052558899,0.0,-0.6266094509128429,-0.0226841065515692,-0.4539114317680337,0.7239351752709988,0.9474051073475964,1.22,1.22,229.90560138524006
1.5670000000000002,-182.5371856689453,79.17308044433594,-0.8894268947932598,1.3022980690002441,0.0,-0.6116700384307279,-0.022143330822706895,-0.44308343917595727,0.6855434890086477,0.9623445198297098,1.22,1.22,218.4893256078138
